review,label
This is a great flat in a wonderful neighborhood Fantastic old building with lots of character but also updated quiet and in the back of the building far away from the busy street My only challenge with the experience was communication with Antoine he wasn t very responsive in advance of the reservation regarding meetup timing entering the apartment and then a last minute emergency prevented him from meeting me at the agreed upon time I can see from the other reviews that I am not the only guest who has had communication or meetup issues My suggestion would be to arrange a reliable backup plan such as hiding a lockbox in the entryway with the key and send the guests instructions for accessing the flat via the lockbox a week before the reservation so that guests can get inside in case of any problems Once I was in I was very glad to be there,B
i loved staying here it x s everything you need in an apartment it x s pretty big compared to paris standards too it x s in a more residential area but a quick metro gets you to everything you x re close to the lines they were so accommodating they were very quick with communication and they also allowed me to check in early i would love to stay here again,B
Jeanne s flat is just great It is spacious stylish modern very clean and well equipped Very central Champs Elysees and Arc de Triomphe is min walk same as the closest metro station There s plenty of great restaurants and cafes around Basically it s a great flat in a great location Jeanne is also a pleasure to deal with I would recommend it to anyone,B
"Apartment very well located near the metro, many supermarkets and restaurants around Lionel is a very attentive host and it was very easy to communicate with him We were very comfortable in his apartment",B
This apartment was perfect It was close to many metro stops had most of the right bank in walking distance and is in a great neighborhood with lots of great cafes bars bakeries and shops Nicolas was extremely friendly and helpful I would rebook in a moment,A
This is a superb area to stay in We walked everywhere from here The only time we used the metro was to go up to Montmartre We never came across an area apart from le Saint Louis that is where we thought we would prefer to be based A whole array of local artisan food shops to hand to suit all budgets and then ofcourse the rather expensive but excellent Le Bon March Rive Gauche with its grande epicerie de Paris m away on Rue de S vres S bastien is very laissez faire if you don t need him he s not there and if you do you just need to text phone or email him The road is a little noisy in the morning but the double glazing blocks it out if you like fresh air there are some smaller back windows you can open Overall a very easy comfortable and enjoyable stay,A
The apartment is beautiful clean and airy Alice was very easy to communicate with We had a wonderful stay,B
Lou s place was great Great location and very easy to get to all the main attractions in Paris Her apartment was spacious and very accommodating Lou was a very gracious host she provided some food coffee and some snacks I recommend her place,B
"A super host who is active and attentive The apartment is super well located, perfect and very functional Thank you and soon",B
Apartment consistent with the photos and description We had a very pleasant stay in Paris The apartment is located close to the main tourist points,C
Ugo s apartment looked exactly like the photos He was a gracious host check in and check out easy lots of local tips and he even provided snacks and extra towels The location was very convenient close to the metro grocery store across the street and very lively surrounding nightlife with an easy walk to Montmartre I would recommend a stay at this listing,B
Small and cozy apartment Close to Les Halles metro station walk to Centre Georges Pompidou only take few mins Room is clean and well equipped We didn t meet the host but Lea is helpful to solve all the problems,A
"This apartment with a view of the Canal St Martin really keeps its promises, a nice decoration and mix of genres, a large, well-appointed space, a very comfortable room And Clemence is super accommodating even if we weren't able to see each other she made it easier for us to enter when we arrived in town",B
"Very good stay, very warm welcome, I recommend without the slightest hesitation",B
Flat is conveniently located for those travelling to from Gare du Nord Well connected with the centre through metro and buses The flat itself is good size for a single traveller or a couple A place with character Terrace great for sunny summer breakfasts,B
Everything was perfect Nolwenn had been very convenient the place was clean and the neighbors was very friendly The apartment is close to the subway and you can easily walk to the city center I would recommend this place for,B
Original and atypical apartment Brilliantly am nag spacious and bright we immediately feel good Thank you Sophie for the fluid communication and local advice in the neighborhood,B
Sarah s place felt very at home a super cozy but spacious interior It was easy to move around the kitchen and have a good time cooking but also taking short breaks to sit on the comfy couch The area is easily accessible and has useful Metro stations close by with lots of marketstalls and supermarkets for groceries Sarah also provided good recommendations in the area for drinks in the evening and coffee in the morning,B
Camille x s apartment is marvelous made me feel like home Apartment provides everything you might need for your stay Building has tiny elevator that was game changer for me i had huge suitcase The location is very convenient minute walk from Pigalle metro station minute walk to sacre cour and beautiful monmartre Great place for those who want to explore Paris Communication with Camille is easy and more importantly pleasant and smooth Would recommend to my friends and family,A
Benjamin x s place is very well located perfectly equipped nice and clean It is even better than it looks in pictures We felt like at home there Benjamin is wonderful host He is very responsible and cares about his quests It was easy to check in when Benjamin was waiting us on arrival We would like to be back and book the place again next time in Paris I recommend Benjamin x s apartment for all travellers,A
This was a charming trendy modern and clean Parisian apartment Comfy bed spacious living room and a kitchen with everything you need Clean toilet bathroom and plenty towels The host left us with a few beers and told us we were welcome to the coffee machine which was a really nice touch Just watch the hot water in the shower doesn t run out if people are staying I would definitely stay in this flat again if returning to Northern Paris Merci Quentin,B
Very good apartment for a long weekend trip for people Julien is a courteous and very reliable host Cooking is also totally possible although the apartment could use some more equipment We definitely recommend it,A
Pierre who was in charge of the aparment was very easy to communicate with very helpful and available at any time Thae apartment was exactly as in the photographs Lovely decorated and very comfortable Very good location in a multicultural neibourghood I enjoyed very much my stay in Isabeau s brand new apartment I felt like I was at home I would definitely book this place again,B
We loved staying at Anh s spacious apartment She was very welcoming and did so much to get the space ready for our stay We had access to internet She stocked essentials like shampoo and basic cooking supplies and laundry soap She provided an excellent fan for the unexpected heat wave for which we were very grateful The bed was very comfortable and the neighborhood was so convenient close to two Metro stops not far from Gare Montparnasse and in our favorite arrondisement We highly recommend a stay here,B
b,C
Great apartment Warm and attentive welcome,C
We had an excellent stay Adrien's apartment is very well located and perfectly equipped Communication with Aurelien was very simple Aurelien was flexible for our arrival and departure We recommend,B
This is perfect place for a couple or a couple with a with a minor child Gated community and security is great The location is great for using metro and eating food nearby restaurants,B
Stephens Appartement is truely wonderful Cozy bedroom nice bathroom just perfect Stephen was a lovely host and even welcomed us with a bottle of wine The location of the flat is also a really nice area and the metro is nearby We had a lovely stay at Stephens Appartement,A
This place is lovely and conveniently located in the th such a beautiful and lively neighborhood We feel very fortunate to experience the city like this,B
Such a perfect Parisian apartment in the great neighborhood of Belleville Very close minutes walking to the closest metro stop makes getting around the city very easy Juliette was extremely flexible and helpful she was willing to accommodate our arrival and departure times with ease Our stay here was amazing Parfait appartement parisien dans le quartier agr able de Belleville Tr s proche min pied au m tro Juliette est une h tesse magnifique elle nous a accueilli sans probl me selon nos horaires d x arriv e et du d part Notre s jour Paris dans l x appartement de Juliette tait incroyable Merci Juliette,B
Everything was great Nice apartment and very good location Would totally stay there again in the future,B
Cl mence is so kind and helpful she one of the best hostess I meet The apartment is cute and cosy I felt safe and at home Really recommend this place,B
Gabriel x s flat was everything we expected it to be Communication was very easy he answered any question very quickly The welcoming by his friend at the flat was good The flat itself was very nice beautiful decorated clean and equipped with everything you need for a city trip The neighbourhood is the real gem of the flat Located close to everything and very vibrant Great stay,B
I really recommend the place Beautiful flat in great neighborhood Just so Paris,B
St phanie x s flat is wonderful Very tasteful elegant decor making a peaceful haven in a busy city The location is excellent enabling immediate explorations on foot of the groovy Belleville and M nilmontant districts while the nearby Metro station gets you into the city centre transport hub of Ch telet in less that minutes And one fast bus ride from G re du Nord Eurostar terminal St phanie is a charming and helpful host She met me personally and explained everything in the flat as well as giving me advice on local facilities She also arranged for a neighbour to know about me in case I needed additional back up All communication was prompt and very helpful I highly recommend this property,A
This charming apartment is so special It is in the perfect location Walking distance to shopping restaurants and metro The bed is comfy with lots of pillows Olimpia is a wonderful host very sweet and helpful I would love to stay here again I miss it already,B
Beautiful neighborhood in the center of Paris plus cleaning fees but despite this the apartment was not in a satisfactory state of cleanliness The disadvantage of floors without elevator and paid parking euros per hour and if you find a location of course otherwise pleasant neighborhood as well that the owner,B
A perfect little flat for a few days spent in Paris The location is great with a view of Sacr C x c ur out the window Everything you need is on hand with a comfortable bed and a homey feel Great for those on a tight budget who don t need luxury to feel at home,B
"We had a very good end of year holiday, partly thanks to Anne who offered us a pleasant, very quiet apartment, no street noise or neighbors, no Montparnasse train station. Small but very sufficient for two. I highly recommend this address",B
We loved this place Excellent location Extremely comfortable bed Well laid out and decorated Can x t wait to come back again,B
"This is the second time I've stayed at Sophie's and the accommodation is as charming as ever. There are only positive points. However, one negative point is to be noted, you don't want to leave this apartment because there are so many books to read TOP",B
Julien s place is wonderful Decorated eclectically and fun we enjoyed spending our down time sitting with the windows open and having friends over for a glass or two in the spacious living room There is no AC or elevator to the third floor where the flat is but the charm of the architecture makes it totally worth it We preferred to enjoy local cafes and dining so the small kitchen didn t bother us The shower has awesome water pressure and shower head a definite bonus As American tourists visiting Paris this flat was a little far from where we spent our time The metro stop was a short walk and scooters available down the street which made transportation very accessible We enjoyed local cafes and restaurants in the neighborhood and hearing the school children each morning down the street In the future we would probably choose somewhere a little more central Julien is an excellent host communicating with you before during and after your stay He is friendly and inviting as is his home,A
Great place WONDERFUL cat Anne was very prompt and open about communication and helped cater to my needs The location is in a very chill area about a minute walk from a lot of restaurants bars bakeries and a small supermarket It s also very close to the metro which is a huge plus,B
"Firstly, the apartment is in one of the locations in Paris that I personally like the most. Very close to the Sacre Coeur, easy to get to via the Avenrés metro. You don't have to walk at all. Recently renovated apartment, very clean, pleasant environment on the ground floor, what for those who have Difficulties in getting around are an advantage despite being located close to a famous tourist spot, the neighborhood is calm and peaceful. The host's hospitality made all the difference, he waited for us, there was water and lots of fruit available, which was excellent after a flight of hours Apartment structure was impeccable Clean bedding super soft bed perfect shower impeccable and equipped kitchen The host during our stay was always concerned about us and sent frequent messages to ask if we needed anything or to offer help It certainly turned around my x house x in Paris",B
La casa in un quartiere estremamente vivace e pieno di locali Katia stata estremamente gentile e disponibile ci ha dato molti suggerimenti utili La casa su due piani ha tutto quello che serve per poter passare un ottimo periodo nel centro di Parigi The house is located in a nice part of the city full of nice place where to eat and drink Katia is super kind she gave us a lot of really useful suggestions on nice place to visit during our stay in Paris The house is perfect and it has everything you need to spend really good time in this amazing city,A
Edouard was there to greet us upon arrival and ensured we knew where everything was before departing He was extremely polite and helpful a perfect host The flat was immaculate and we enjoyed a great few days in a location that worked well for us It s close to Monmartre and Gareth du Nord so perfect if you travel by Eurostar I especially appreciated a booklet that Edouard has put together with recommendations for local restaurants etc we would not have located some gems without this All in all a great find and I ll be recommending it to friends,B
Karine s apartment is an absolutely fantastic place to spend your vacation in Paris After staying in Paris for about days we found that her location was our favourite in the city not very touristy quiet EXCELLENT restaurants and cafes steps away close to bikes and public transportation etc The apartment itself is very spacious extremely clean and the decor is spot on you really feel like you are staying in a quintessential Parisian apartment If we come back to Paris this is absolutely where we would stay,A
This is a great spot if you want to be close to the metro and the tourist spots but also near places where actual parisians go We loved the light from the courtyard window The room was very small but not uncomfortable Definitely not the spot if you want to cook some stuff as the kitchen was non existant as advertised Go to the absinthe cafe around the corner for the hip vibe The bar L Attirail Caf for a cheap ass dive with absolutely delicious fried potatoes Nice place to stay,B
Nice comfortable sized unit in a great location footsteps from The Madeleine and Metro stations Recommend staying here and will certainly look it up again when next in Paris,B
This is a great value place to stay that is within easy mins walk to Louvre Elisabeth is a great host and available constantly for help with anything Great place and I hop to stay again in the future,B
It was a great experience Claire and Peter s apartment is a Gem we felt at home the minute we walked through the door It is very appointed with a great couch and a Nespresso machine Although small like all places in the center of Paris it feels airy and spacious Claire and Peter were very helpful from the first contact Peter met us as we arrived giving us helpful tips for our stay and a broad smile The Marais is a busy bustling area with endless things to do It is in the very heart of Paris and from there we mostly got around on foot There are also Metro stations close by Thank you,A
"I had a pleasant stay in Ling's apartment, the apartment conforms to the description and the host is very accommodating and responsive, good value for money and I highly recommend this apartment which is well located",B
Chloe x s place is even better looking in person with lots of cool decor It was warm and cozy in late December The location is perfect and the wifi worked great I did not want to leave Thank you Chloe,B
We went to Paris for the first time as a couple and it was the perfect Airbnb for us The flat had its own toilet shower kitchen space and double bed St phane was a really friendly host He gave us good recommendations for the area and how to get around the city If we were to ever come back we would definitely stay again,B
My girlfriend and I loved staying at Servane s place Incredible views spacious and comfortable Couldn t have asked for a better place to stay,B
Great place to stay close to great shops and cafes also a quick walk to the metro A bit of foot traffic from the apartments above with some thin walls makes for a city living experience,C
St phane is incredibly courteous Has tons of information regarding Paris Super nice guy made us feel exceptionally welcome after a long day of traveling,C
L appartement de M lanie est super encore meilleur que les photos Tout tait tr s propre et il y avait une lumi re tr s agr able Le quartier est sympa et la proximit aux buttes des chaumont est vraiment cool M lanie tait super communicative et a m me laiss une liste des restaurants et petits commerces Melanie has a great apartment even bigger and better than the photos show The kitchen especially is fantastic Everything was very clean and there was pleasant sunlight in the whole place The neighborhood is great and the proximity to Buttes de Chaumont a great park for running picnics and people watching makes this apartment especially great Melanie was very responsive and left a list in French and English of all the great neighborhood restaurant and shops,A
This cozy little flat has a good location for walking around Paris and Dominique was accommodating with regards to arrival departure times,C
It was a pleasure to stay in Anne s apartment while exploring Paris The apartment was pretty clean and cozy with a beautiful balcony and pretty close to the metro just min walk to the station Guy Moquet Anne was a great and symphatic host even though I hadn t the pleasure to meet her in person because of my trains delay The communication and the check in were perfect organized and Anne was always available via phone for some questions I can highly recommend this flat and would always book it again,A
Great locaiton Charming apartment,C
Elena Yohann s apartment is the perfect spot for people looking to stay in the heart of Montmartre The apartment felt super safe and was very clean The toilet and the shower are in separate rooms which is the perfect setup for people looking to get out the door quickly in the morning The apartment is in a great location just mins from the Sacre Couer and mins from the closest metro stop that ll get you to the city center It s located on a street with tons of restaurants and bars though this does mean that there is noise at night Elena Yohann had a fan that I used to drown out the noise I would recommend this place to anyone looking to stay in Montmartre,B
The apartment was perfect Mickael was very helpful and met us when we arrived Very centrally located and easy to take trains in and out of Nation,B
I have not met in person Aur lie she was also well distanced while welcoming The description of the apartment is true There is everything The position and the neighborhood are wonderful,B
The flat was great and accurately matched the photos posted There was some initial difficulty checking in because of strikes going on when I arrived but Max made sure to clearly communicate with me The flat was clean and cozy The bathroom shower was kind of small which made it a little difficult to shower but I could just be spoiled and not used to flats in Paris The flat was located on the th floor of the building without an elevator so it was a trek to make it up there However it was in a great location next to major subways so it was easy to get around It was also in walking distance to the Eiffel Tower and Arch de Triumph The door locks automatically when closed and I accidentally locked myself out of the apartment Max responded immediately at midnight thank goodness and met me up to give me a spare key Without him I would ve been homeless for a night so I m very thankful he was responsive and made the effort to meet me up I would definitely recommend this flat,A
Super stylish apartment with a great view over Paris and very close to the metro station Voltaire Antoine is a great host who replies quickly and the key handover was easy uncomplicated The kitchen is perfectly equipped Also I never slept better on an extendable couch stars for sure,A
I attended a conference in Parc La Villette and Helene s appartment was perfect for the nights I was there It was just minutes walking in a very nice neighborhood The appartment was on the th floor no lift and was clean and quiet It has everything you might need except a television and laundry but I did not need those There were many restaurants very nearby and an organic market across the street with nice wines The metro is right outside the front door My train was hours late and I did not arrive until AM but Helene was very helpful getting me into the appartment despite the late hour,A
It was our absolute pleasure to have met Elizabeth and to have stayed in her darling very comfortable and clean apartment Elizabeth was so helpful taking the time to answer all inquiries offering insight recommendations and support that made our first trip to Paris so seamless and memorable,B
Student guest So safe and accessible The apartment is lovely Thank you for your hospitality,C
The place is very close To the metro and had everything that we needed Lucie was also great,B
everything was great nice location close to center flat is better than in pictures Very good comunication with Rebecca tnx for everything,C
????? ??? ? ?? ??? ????. ??? ??? ??? ?????? ?????. ??? ?? ??? ???? ?? ??? ?????? ???? ??.. ??? ??? ????. ?? ??? ??? ?? ???? ???? ?? ??? ???? ?????. ??? ??? ???? ?? ????. ?? ??? ??? ???. ??? ???? ??? ???. ???????.,C
The apartment is situated incredibly close to a metro and allows an easy journey to Charles de Gaulle airport The apartment itself is quirky comfortable and beautifully decorated Unfortunately I was unable to meet the host but she organised for me to receive the keys from her neighbour who was very friendly and kind despite arriving at the apartment quite late at night I would definitely recommend this place if you want to leave the crowds of the city centre and enjoy cheap but delicious food by the canal in a quirky environment,B
Amazing flat very well situated Very clean and spacious The perfect place if you want to spend a few days in Paris I strongly recommend it,B
The place is great There are several metro stations nearby a few restaurants a grocery store and more It is a very peaceful neighborhood though away from crowds and a lot of tourists which is nice Cyril is very willing to help and communicate Great place,A
We had the best time at Bertrand s very well designed clean apartment The location was conveniently close to Republique and the neighborhood was safe and quiet Also he has excellent taste,B
Great location excellent check in Would definitely stay again,C
beautiful bright apartment perfectly equipped in a lively and animated area jourdain both day and night second floor with lift Metro direct to the center Gaelle will return punctually and accurately,B
I am a bit disappointed with Juliette s efforts First after I already booked the apartment she asked me if her boyfriend s cat could stay there I was going to stay the following day and so I didn t want to look for another place at the last minute and I said it was fine However the cat was very freaked out that I was there and was spraying everywhere and I broke out in hives after sitting on the couch having only been in the apartment for minutes Also there was no internet I was traveling internationally and did not want to use my data which is expensive and my main requirement when looking for a place was to have a wifi connection Considering both of these things I asked for a discount which she said she would do and yet never did anything I am still waiting for a discount I will contact AirBnB,B
We have choosen the house of Aurelie because it looks cosy with dining table equiped kitchen WIFI and the location It is value for money We stayed with children who slept very well at the bed couch One of the best boulangers are around the corner together with other delicious food shops wine cheese roast chicken fish The neighbourhood is relaxed and not that touristic It is short walk to the centre of Montmartre Parking is a problem but you can park in parking for euro a day One critic remark is the bathroom their is no fence for the shower the shower is in a bath Thanks for staying in your house and the unforgetable holiday we had in Paris,A
Had a nice stay in Paris there,C
Decided to extend another day very accommodating Like I said before I d stay again,C
Modern and quiet studio with easy access to the Metro Djamila is a great host very helpful and friendly I would highly recommend,B
very pleasant modern and spacious apartment Excellent support for the preparation of the stay and welcome by Romain and his mother,B
Perfect Thank you Pierre I would come back with pleasure,C
An apartment ideally located decorated with great taste I highly recommend it We were not able to see Marion but her husband Bruno welcomed us with great kindness And an excellent bottle of red wine THANK YOU Again,B
Juliette s place is perfect for those travelers looking for a central safe and cozy stay in Paris It is within walking distance to major sites and markets It was an easy check in and out and Juliette is very prompt in communicating The only slight concern we had was the pull out bed was uncomfortable at times but that was it Overall our stay was amazing and I would highly recommend Juliette s place,B
Small but comfortable and typical apartment. The location is excellent because it is in a vital area full of places to drink and eat. Marion is well organized for flexible check-in and out.,B
"Received the apartment by Alexandra Hello, friendly communication by easy message Clean apartment corresponding to the photos located in a quiet area I recommend this small apartment",A
We had an amazing stay at the air b n b It was super helpful the tips they left for restaurants and how to use the metro I would highly recommend staying here,B
"Everything was perfect Very comfortable apartment, very beautiful bright decor and exemplary cleanliness Pierre is very friendly and it is a privilege to be welcomed in his very beautiful space Special mention to the Japanese toilets Close to the metro and efficient double glazing Franprix ensuring night silence, good bedding",B
The apartment is very clean and well equipped just a few steps from the Gare de Lyon Charlotte and Nicolas took good care of us even if they were not in Paris I recommend this apartment,B
Such a nice place to stay,C
Mickael was very accommodating and provided perfect directions to the apartment Apartment itself was also in a great location minutes from Nation station As for the apartment it was exactly as the photos show and was very clean and cozy We staying here very much and would not hesitate to book again Thanks for the great welcome Mickael,A
The host is trustworthy and kind The house is pretty and comfortable And the location is convenient I recommend it to everyone,B
Easy checkin and pictures were very accurate,C
The apartment was comfortable in a great lively location Close to the metro and walking distance to many of Paris sites The hostess was very friendly responsive and accommodating Overall a great experience Would definitely go back there again,B
Balthazar is awesome His apartment is beautiful Tasteful clean and with a killer view The neighborhood is perfect For strolling eating shopping Don t think twice,B
I would like to stay in his apartment on my next trip to Paris. It will be popular. It was a good place.,C
Exactly as described like every other review The view of Sacre Couer is even better in person photos don x t do it Justice,C
"Morena is super nice and the apartment is top notch Comfortable, clean and above all extremely well located I recommend",B
Marie was really kind and helpful with the indications The location was good not the best but good The room is really small just for one person we think I don t think we would stay there in the future to be honest,C
Merci beaucoup Olga,C
"We had a very good stay at Audrey's, the apartment was consistent with the description and very clean. The neighborhood is very nice and quiet. Lots of shops nearby. I recommend this address and I am already thinking of this address for a future stay in Paris.",B
Sylvain was an excellent host and his Paris apartment felt like home He even left me a few beers Communication Fast and reliable Sylvain made me feel comfortable Check In I appreciate them waiting for me since I got lost Directions were simple to follow from the airport but I took the wrong metro haha Value His flat is huge for Paris standards I x m coming from NYC so this was humongous for me I love that there was laundry in the flat and separate rooms for the living spaces Wifi is strong for WFH It x s a real two bedroom flat The guest room has a bunk bed and pull out mattress which could fit people if you had someone sleep on the living room couch Location Felt like a real local This is in a young artistic area It x s far enough away from the central area to not feel tourists but close enough to be walking distance to main attractions and metros The flat faces a busy street but I don x t mind city noises Price I felt the price was well marked for what you receive,A
Very nice apartment in an excellent location close to the Luxembourg Gardens In theory it is very convenient to get there on the RER from the airport but we were there during the strike where the line was facing major disruptions The apartment is roomy and filled with light Its cute garden backs onto the Val de Grace hospital Despite being on a pretty busy street the apartment is super quiet and secluded It was a little bit complicated to get the key from the hosting company involved retrieving and dropping key off at two separate laundromats but the company was very helpful and made the key exchange easier by sending someone to pick up key Overall we had a nice stay,B
I suggest everyone Messa is a superhost Location is awesome Thanks again,B
We knew we made the right choice as soon as we met Anouk She was plesant and easy to communicate with The apartment itself was clean in a great location and around minutes walk to the Eiffel Tower The street had plenty of cafes and shops along the length of it When we go back to Paris well be staying there again,B
"Stephanie is very nice and her apartment is very pretty, welcoming and comfortable.",C
Beautiful location Serenaded by street buskers Convenient to subway and grocery coffee restaurants and bars Easy access to get everywhere popular Whimsical and quirky decor so many fun decorations B reng re has there Cool art things that made us laugh and the bathtub Plenty of hot water for a bath Easily fits Very romantic Plenty of space for clothes and cool decor to make it feel cozy in the bedroom Couch was super comfy and you re on the th floor so the view Was amazing Easy to get in the place has a hair drier and iron Coffee machine and wifi No TV but who needs one when you re in Paris Love how bright the apartment was so many windows,B
"Carlotta's apartment is super cozy and we have really enjoyed staying here. The apartment is nicely furnished and is in a good area. They are incredibly t t p Sacre C ur We never met Carlotta but she has been quite accessible and easy to get hold of. In addition, she had arranged that a friend gave us the nail and gave us good tips for what to experience in Paris I would happily stay here again and can only recommend it to others",B
Cozy little apartment simple at a good price Quiet surroundings and a very reasonable value,C
Great way to stay in the heart of Montmartre The apartment is spacious and well equipped for two people The location is perfect to explore Montmartre as well as the city by Metro Communication with Yohann was great I would recommend this apartment to anyone to visit Paris,B
Virginie s place is in a great location near canal st martin which is super fun to walk around in the evening and grab dinner drinks The space was very inviting comfortable and clean There was also a great fan that kept us nice and cool during some hot summer nights Fabulous place to stay in Paris,B
My wife and I really enjoyed staying at Eduoard s flat during our time in Paris It was spacious clean and close to a metro station Would definitely recommend to anyone wanting to visit Paris,B
Great location by the Seine and Eiffel Tower,C
Warm welcome in a beautiful appartment with all the neccessary features for a great holiday in the City of Love Useful hints for lovely restaurants and other points of interest Highly recommended,B
amazing small apartment at Montmartre,C
Cozy apartment in a good location Chris is very nice man He offered his help all the time The check in and out was very smooth Chris was always available,B
